name,company,year,Price,kms_driven,fuel_type,kms_group
Yeti Ambition,Skoda,2012,448000.0,68000.0,Diesel,50k-100k
Suzuki Baleno,Maruti,2017,549000.0,32000.0,Diesel,25k-50k
Duster 110,Renault,2012,501000.0,38000.0,Diesel,25k-50k
Duster 85,Renault,2013,489999.0,27000.0,Diesel,25k-50k
City 1.5,Honda,2011,280000.0,33000.0,Petrol,25k-50k
Suzuki Dzire,Maruti,2013,349999.0,46000.0,Diesel,25k-50k
Amaze,Honda,2013,284999.0,46000.0,Diesel,25k-50k
Amaze 1.5,Honda,2015,345000.0,36000.0,Diesel,25k-50k
City,Honda,2015,499999.0,55000.0,Petrol,50k-100k
Redi GO,Datsun,2017,235000.0,16000.0,Petrol,0-25k
Suzuki SX4,Maruti,2010,249999.0,36000.0,Petrol,25k-50k
Pajero Sport,Mitsubishi,2015,1475000.0,47000.0,Diesel,25k-50k
Scorpio S10,Mahindra,2015,395000.0,35000.0,Diesel,25k-50k
Suzuki Swift,Maruti,2017,220000.0,30874.0,Petrol,25k-50k
City ZX,Honda,2017,170000.0,15000.0,Diesel,0-25k
Suzuki Wagon,Maruti,2013,85000.0,29685.0,Petrol,25k-50k
Indigo eCS,Tata,2017,200000.0,130000.0,Diesel,100k-150k
Scorpio SLE,Mahindra,2012,570000.0,19000.0,Diesel,0-25k
Polo Highline,Volkswagen,2014,315000.0,60000.0,Petrol,50k-100k
Spark LS,Chevrolet,2010,110000.0,41000.0,Petrol,25k-50k
Duster 110PS,Renault,2012,501000.0,35000.0,Diesel,25k-50k
City,Honda,2015,448999.0,54000.0,Petrol,50k-100k
Cooper S,Mini,2013,1891111.0,13000.0,Petrol,0-25k
Fabia 1.2L,Skoda,2011,159500.0,38200.0,Diesel,25k-50k
Amaze,Honda,2015,344999.0,22000.0,Petrol,0-25k
Duster,Renault,2014,449999.0,50000.0,Diesel,25k-50k
Cooper S,Mini,2013,1891111.0,13500.0,Petrol,0-25k
Scorpio S4,Mahindra,2015,865000.0,30000.0,Diesel,25k-50k
Scorpio VLX,Mahindra,2014,699000.0,50000.0,Diesel,25k-50k
Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel,0-25k
EcoSport,Ford,2017,489999.0,39000.0,Petrol,25k-50k
Brio,Honda,2012,224999.0,30000.0,Petrol,25k-50k
Vento Highline,Volkswagen,2019,1200000.0,3600.0,Diesel,0-25k
i20 Magna,Hyundai,2009,195000.0,32000.0,Petrol,25k-50k
Corolla Altis,Toyota,2010,351000.0,38000.0,Diesel,25k-50k
Verna Transform,Hyundai,2008,160000.0,45000.0,Petrol,25k-50k
Corolla Altis,Toyota,2009,240000.0,35000.0,Petrol,25k-50k
City 1.5,Honda,2005,90000.0,50000.0,Petrol,25k-50k
Fabia 1.2L,Skoda,2011,155000.0,45863.0,Diesel,25k-50k
3 Series,BMW,2011,600000.0,60500.0,Petrol,50k-100k
Suzuki A,Maruti,2011,189500.0,12500.0,Petrol,0-25k
Etios GD,Toyota,2013,350000.0,60000.0,Diesel,50k-100k
Figo Diesel,Ford,2012,210000.0,35000.0,Diesel,25k-50k
Suzuki Swift,Maruti,2014,390000.0,35000.0,Petrol,25k-50k
Beat LT,Chevrolet,2012,135000.0,45000.0,Diesel,25k-50k
7 Series,BMW,2009,1600000.0,35000.0,Petrol,25k-50k
XUV500 W8,Mahindra,2013,701000.0,38000.0,Diesel,25k-50k
i10 Magna,Hyundai,2014,265000.0,18000.0,Petrol,0-25k
Verna Fluidic,Hyundai,2015,525000.0,35000.0,Diesel,25k-50k
Suzuki Swift,Maruti,2013,372000.0,13349.0,Petrol,0-25k
Suzuki Ertiga,Maruti,2016,635000.0,29000.0,Petrol,25k-50k
EcoSport Titanium,Ford,2014,550000.0,44000.0,Diesel,25k-50k
Suzuki Ertiga,Maruti,2016,575000.0,29000.0,Petrol,25k-50k
Suzuki Ertiga,Maruti,2013,485000.0,42000.0,Diesel,25k-50k
Suzuki Alto,Maruti,2012,155000.0,14000.0,Petrol,0-25k
Grand i10,Hyundai,2014,345000.0,49000.0,Diesel,25k-50k
Amaze 1.2,Honda,2014,325000.0,42000.0,Petrol,25k-50k
i20 Asta,Hyundai,2012,329500.0,36200.0,Diesel,25k-50k
Figo Diesel,Ford,2014,195000.0,50000.0,Diesel,25k-50k
Suzuki Eeco,Maruti,2015,251111.0,55000.0,Petrol,50k-100k
Suzuki Ertiga,Maruti,2014,569999.0,45000.0,Petrol,25k-50k
Suzuki Esteem,Maruti,2007,69999.0,51000.0,Petrol,50k-100k
Suzuki Ritz,Maruti,2014,299999.0,19000.0,Petrol,0-25k
Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol,25k-50k
Suzuki Ritz,Maruti,2013,399999.0,33000.0,Diesel,25k-50k
Suzuki Dzire,Maruti,2015,450000.0,104000.0,Diesel,100k-150k
Etios Liva,Toyota,2014,270000.0,55000.0,Petrol,50k-100k
i20 Sportz,Hyundai,2011,350000.0,33333.0,Diesel,25k-50k
Spark,Chevrolet,2012,158400.0,33600.0,Petrol,25k-50k
Suzuki Alto,Maruti,2017,350000.0,5600.0,Petrol,0-25k
Micra XV,Nissan,2011,179000.0,41000.0,Petrol,25k-50k
Suzuki Swift,Maruti,2007,125000.0,70000.0,Petrol,50k-100k
Suzuki Alto,Maruti,2018,200000.0,7500.0,Petrol,0-25k
Amaze 1.5,Honda,2013,299000.0,45000.0,Diesel,25k-50k
Suzuki Alto,Maruti,2015,220000.0,38000.0,Petrol,25k-50k
Beat,Chevrolet,2015,150000.0,30000.0,Petrol,25k-50k
City 1.5,Honda,2010,285000.0,35000.0,Petrol,25k-50k
EcoSport Trend,Ford,2016,830000.0,24330.0,Diesel,0-25k
i20 Asta,Hyundai,2009,210000.0,65480.0,Petrol,50k-100k
Suzuki Swift,Maruti,2013,340000.0,41000.0,Petrol,25k-50k
Indica V2,Tata,2006,90000.0,20000.0,Petrol,0-25k
Motors Ambassador,Hindustan,2000,70000.0,200000.0,Diesel,150k-200k
Corolla Altis,Toyota,2010,289999.0,70000.0,Petrol,50k-100k
Corolla Altis,Toyota,2012,349999.0,59000.0,Petrol,50k-100k
Innova 2.5,Toyota,2012,849999.0,99000.0,Diesel,50k-100k
Jetta Highline,Volkswagen,2014,749999.0,46000.0,Diesel,25k-50k
Polo Comfortline,Volkswagen,2015,399999.0,2800.0,Petrol,0-25k
Polo,Volkswagen,2014,274999.0,32000.0,Petrol,25k-50k
Scorpio,Mahindra,2015,984999.0,22000.0,Diesel,0-25k
Sunny,Nissan,2012,224999.0,45000.0,Petrol,25k-50k
Elite i20,Hyundai,2018,599999.0,21000.0,Petrol,0-25k
Kwid,Renault,2016,244999.0,11000.0,Petrol,0-25k
Duster,Renault,2013,399999.0,41000.0,Diesel,25k-50k
Duster,Renault,2014,474999.0,50000.0,Diesel,25k-50k
Scorpio VLX,Mahindra,2011,499999.0,66000.0,Diesel,50k-100k
Suzuki Alto,Maruti,2018,310000.0,3000.0,Petrol,0-25k
Spark LT,Chevrolet,2010,85000.0,45000.0,Petrol,25k-50k
Redi GO,Datsun,2016,245000.0,7000.0,Petrol,0-25k
Suzuki Swift,Maruti,2010,189500.0,38500.0,Diesel,25k-50k
Punto Emotion,Fiat,2012,169500.0,37200.0,Diesel,25k-50k
Suzuki Swift,Maruti,2010,159500.0,43200.0,Diesel,25k-50k
Etios GD,Toyota,2013,275000.0,24800.0,Petrol,0-25k
i20 Sportz,Hyundai,2014,370000.0,60000.0,Diesel,50k-100k
i10 Sportz,Hyundai,2010,168000.0,45872.0,Petrol,25k-50k
Beat LT,Chevrolet,2011,150000.0,40000.0,Diesel,25k-50k
Beat LS,Chevrolet,2011,145000.0,45000.0,Diesel,25k-50k
Beat LT,Chevrolet,2012,98500.0,38000.0,Diesel,25k-50k
Indigo CS,Tata,2011,85000.0,11400.0,Diesel,0-25k
Corolla Altis,Toyota,2015,575000.0,42000.0,Petrol,25k-50k
City 1.5,Honda,2014,549000.0,39000.0,Petrol,25k-50k
Suzuki Swift,Maruti,2011,209000.0,47000.0,Diesel,25k-50k
Eon Era,Hyundai,2013,185000.0,27000.0,Petrol,25k-50k
Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel,50k-100k
XUV500,Mahindra,2014,699999.0,52000.0,Diesel,50k-100k
Fiesta,Ford,2011,274999.0,55000.0,Diesel,50k-100k
City,Honda,2015,599999.0,30000.0,Diesel,25k-50k
Suzuki Wagon,Maruti,2012,199999.0,44000.0,Petrol,25k-50k
City,Honda,2014,544999.0,45000.0,Diesel,25k-50k
i20,Hyundai,2009,199000.0,31000.0,Petrol,25k-50k
Indigo eCS,Tata,2016,320000.0,175430.0,Diesel,150k-200k
Fluidic Verna,Hyundai,2015,540000.0,38000.0,Diesel,25k-50k
Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel,25k-50k
Petra ELX,Fiat,2008,75000.0,65000.0,Petrol,50k-100k
Santro Xing,Hyundai,2005,49000.0,7500.0,Petrol,0-25k
Suzuki Ciaz,Maruti,2016,700000.0,3350.0,Petrol,0-25k
Suzuki Zen,Maruti,2000,55000.0,60000.0,Petrol,50k-100k
Creta 1.6,Hyundai,2017,895000.0,32000.0,Petrol,25k-50k
Scorpio SLX,Mahindra,2007,355000.0,75000.0,Diesel,50k-100k
Scorpio SLE,Mahindra,2012,565000.0,62000.0,Diesel,50k-100k
Innova 2.5,Toyota,2006,365000.0,73000.0,Diesel,50k-100k
Suzuki Alto,Maruti,2011,145000.0,41000.0,Petrol,25k-50k
Suzuki Wagon,Maruti,2011,210000.0,35000.0,Petrol,25k-50k
Nano Cx,Tata,2013,40000.0,2200.0,Petrol,0-25k
Suzuki Alto,Maruti,2013,125000.0,39000.0,Petrol,25k-50k
Suzuki Wagon,Maruti,2009,135000.0,45000.0,Petrol,25k-50k
Suzuki Swift,Maruti,2006,135000.0,45000.0,Petrol,25k-50k
Sumo Victa,Tata,2012,285000.0,65000.0,Diesel,50k-100k
Suzuki Wagon,Maruti,2010,145000.0,54870.0,Petrol,50k-100k
Suzuki Alto,Maruti,2010,135000.0,34580.0,Petrol,25k-50k
Passat Diesel,Volkswagen,2009,450000.0,97000.0,Diesel,50k-100k
Scala RxL,Renault,2015,375000.0,25000.0,Diesel,0-25k
Grand i10,Hyundai,2014,365000.0,20000.0,Petrol,0-25k
i20 Active,Hyundai,2015,500000.0,18000.0,Petrol,0-25k
Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel,25k-50k
Bolero SLE,Mahindra,2013,330000.0,80200.0,Diesel,50k-100k
Motors One,Force,2015,580000.0,3200.0,Diesel,0-25k
Suzuki SX4,Maruti,2012,265000.0,46000.0,Diesel,25k-50k
Suzuki Alto,Maruti,2015,219000.0,5000.0,Petrol,0-25k
Etios,Toyota,2011,275000.0,36000.0,Diesel,25k-50k
Polo,Volkswagen,2015,330000.0,38000.0,Diesel,25k-50k
City ZX,Honda,2008,110000.0,45000.0,Petrol,25k-50k
Suzuki Wagon,Maruti,2006,80000.0,71200.0,Petrol,50k-100k
City VX,Honda,2016,519000.0,52000.0,Diesel,50k-100k
Thar CRDe,Mahindra,2016,730000.0,29000.0,Diesel,25k-50k
A4 1.8,Audi,2009,699000.0,47000.0,Petrol,25k-50k
Benz GLA,Mercedes,2015,2000000.0,20000.0,Diesel,0-25k
Rover Freelander,Land,2015,2100000.0,30000.0,Diesel,25k-50k
Kwid RXT,Renault,2017,340000.0,5000.0,Petrol,0-25k
Aria Pleasure,Tata,2014,390000.0,35000.0,Diesel,25k-50k
Benz B,Mercedes,2014,1400000.0,31000.0,Petrol,25k-50k
GO T,Datsun,2016,245000.0,7000.0,Petrol,0-25k
Indigo eCS,Tata,2016,320000.0,175400.0,Diesel,150k-200k
Jazz VX,Honda,2016,450000.0,41000.0,Petrol,25k-50k
Amaze 1.2,Honda,2014,311000.0,33000.0,Petrol,25k-50k
City,Honda,2012,399999.0,45000.0,Petrol,25k-50k
City,Honda,2015,599999.0,39000.0,Diesel,25k-50k
Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel,25k-50k
i20 Active,Hyundai,2015,535000.0,37000.0,Diesel,25k-50k
Suzuki Ciaz,Maruti,2017,699000.0,14000.0,Petrol,0-25k
Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel,50k-100k
Eon Sportz,Hyundai,2012,178000.0,30000.0,Petrol,25k-50k
Sumo Gold,Tata,2013,300000.0,50000.0,Diesel,25k-50k
Suzuki Wagon,Maruti,2003,90000.0,45000.0,Petrol,25k-50k
Suzuki Esteem,Maruti,2006,95000.0,45000.0,Petrol,25k-50k
Suzuki Eeco,Maruti,2015,255000.0,9300.0,Petrol,0-25k
Enjoy 1.4,Chevrolet,2013,245000.0,55000.0,Diesel,50k-100k
Suzuki Wagon,Maruti,2015,289999.0,22000.0,Petrol,0-25k
Terrano XL,Nissan,2015,499999.0,60000.0,Diesel,50k-100k
Duster 85,Renault,2014,489999.0,59000.0,Diesel,50k-100k
Duster 85,Renault,2015,549999.0,19000.0,Diesel,0-25k
Suzuki Dzire,Maruti,2013,380000.0,30000.0,Petrol,25k-50k
Kwid RXT,Renault,2018,325000.0,15000.0,Petrol,0-25k
Suzuki 800,Maruti,2003,57000.0,56758.0,Petrol,50k-100k
Kwid 1.0,Renault,2018,349999.0,10000.0,Petrol,0-25k
Scala RxL,Renault,2014,349999.0,49000.0,Diesel,25k-50k
Grand i10,Hyundai,2014,410000.0,41000.0,Petrol,25k-50k
Suzuki Swift,Maruti,2011,225000.0,45000.0,Petrol,25k-50k
Beat LS,Chevrolet,2010,120000.0,43000.0,Petrol,25k-50k
Santro Xing,Hyundai,2000,59000.0,56450.0,Petrol,50k-100k
Beat LS,Chevrolet,2010,80000.0,56000.0,Petrol,50k-100k
Beat LS,Chevrolet,2015,220000.0,32700.0,Petrol,25k-50k
EcoSport Titanium,Ford,2016,599000.0,30000.0,Diesel,25k-50k
Accent GLX,Hyundai,2006,80000.0,56000.0,Petrol,50k-100k
TUV300 T4,Mahindra,2016,675000.0,9000.0,Diesel,0-25k
Indica V2,Tata,2008,150000.0,11000.0,Petrol,0-25k
Indigo CS,Tata,2009,72500.0,46000.0,Diesel,25k-50k
Scorpio VLX,Mahindra,2004,230000.0,160000.0,Diesel,150k-200k
Accord,Honda,2009,175000.0,58559.0,Petrol,50k-100k
EcoSport Titanium,Ford,2014,520000.0,57000.0,Diesel,50k-100k
Suzuki Ertiga,Maruti,2015,524999.0,50000.0,Diesel,25k-50k
Amaze,Honda,2014,299999.0,37000.0,Petrol,25k-50k
Suzuki Dzire,Maruti,2012,299999.0,40000.0,Petrol,25k-50k
City,Honda,2011,284999.0,55000.0,Petrol,50k-100k
Scorpio 2.6,Mahindra,2007,220000.0,170000.0,Diesel,150k-200k
Suzuki Dzire,Maruti,2014,424999.0,55000.0,Diesel,50k-100k
City,Honda,2015,644999.0,39000.0,Petrol,25k-50k
Mobilio,Honda,2014,399999.0,44000.0,Petrol,25k-50k
Corolla Altis,Toyota,2009,199999.0,65000.0,Petrol,50k-100k
City,Honda,2014,584999.0,39000.0,Petrol,25k-50k
Laura,Skoda,2012,349999.0,44000.0,Diesel,25k-50k
Duster,Renault,2015,449999.0,49000.0,Diesel,25k-50k
Suzuki Ertiga,Maruti,2018,799999.0,9000.0,Diesel,0-25k
Suzuki Dzire,Maruti,2015,444999.0,45000.0,Diesel,25k-50k
XUV500,Mahindra,2014,649999.0,47000.0,Diesel,25k-50k
Verna Fluidic,Hyundai,2012,444999.0,40000.0,Diesel,25k-50k
Suzuki Vitara,Maruti,2016,689999.0,29000.0,Diesel,25k-50k
Suzuki Wagon,Maruti,2016,344999.0,15000.0,Petrol,0-25k
Scorpio,Mahindra,2015,944999.0,45000.0,Diesel,25k-50k
Amaze,Honda,2014,274999.0,35000.0,Petrol,25k-50k
XUV500,Mahindra,2013,689999.0,80000.0,Diesel,50k-100k
Scorpio,Mahindra,2013,574999.0,68000.0,Diesel,50k-100k
Laura,Skoda,2013,374999.0,50000.0,Diesel,25k-50k
Polo,Volkswagen,2010,199999.0,60000.0,Diesel,50k-100k
Elite i20,Hyundai,2016,549999.0,9000.0,Petrol,0-25k
Manza Aura,Tata,2012,130000.0,72000.0,Diesel,50k-100k
Sail UVA,Chevrolet,2013,210000.0,60000.0,Petrol,50k-100k
Verna Fluidic,Hyundai,2013,401000.0,45000.0,Diesel,25k-50k
A4 2.0,Audi,2012,1350000.0,40000.0,Diesel,25k-50k
Elantra SX,Hyundai,2013,600000.0,20000.0,Petrol,0-25k
Scorpio VLX,Mahindra,2013,610000.0,35000.0,Diesel,25k-50k
KUV100 K8,Mahindra,2016,400000.0,20000.0,Diesel,0-25k
Grand i10,Hyundai,2017,524999.0,6821.0,Petrol,0-25k
i20,Hyundai,2014,449999.0,23000.0,Petrol,0-25k
Eon,Hyundai,2014,174999.0,14000.0,Petrol,0-25k
i10,Hyundai,2012,244999.0,38000.0,Petrol,25k-50k
i20 Active,Hyundai,2015,574999.0,35000.0,Diesel,25k-50k
Redi GO,Datsun,2017,244999.0,22000.0,Petrol,0-25k
Etios Liva,Toyota,2011,239999.0,41000.0,Petrol,25k-50k
Accent,Hyundai,2010,99999.0,45000.0,Petrol,25k-50k
Verna,Hyundai,2014,489999.0,44000.0,Diesel,25k-50k
Suzuki Swift,Maruti,2013,324999.0,45000.0,Diesel,25k-50k
Fortuner,Toyota,2011,1074999.0,52000.0,Diesel,50k-100k
i10 Sportz,Hyundai,2012,230000.0,34000.0,Petrol,25k-50k
Bolero Power,Mahindra,2018,699000.0,1800.0,Diesel,0-25k
XUV500,Mahindra,2015,1000000.0,15000.0,Diesel,0-25k
Spark LT,Chevrolet,2009,110000.0,44000.0,Petrol,25k-50k
XUV500,Mahindra,2016,1130000.0,72000.0,Diesel,50k-100k
Indigo eCS,Tata,2014,250000.0,40000.0,Diesel,25k-50k
Rapid Elegance,Skoda,2013,340000.0,48000.0,Diesel,25k-50k
Vista Quadrajet,Tata,2011,120000.0,90000.0,Diesel,50k-100k
Suzuki Alto,Maruti,2015,265000.0,12000.0,Petrol,0-25k
Suzuki Zen,Maruti,2003,85000.0,69900.0,Petrol,50k-100k
i10 Magna,Hyundai,2011,175000.0,45000.0,Petrol,25k-50k
Suzuki Swift,Maruti,2016,350000.0,166000.0,Diesel,150k-200k
City ZX,Honda,2008,149000.0,42000.0,Petrol,25k-50k
Beat Diesel,Chevrolet,2017,150000.0,62000.0,Diesel,50k-100k
City 1.5,Honda,2010,225000.0,70000.0,Petrol,50k-100k
Verna 1.4,Hyundai,2014,375000.0,36000.0,Petrol,25k-50k
Suzuki 800,Maruti,1995,30000.0,55000.0,Petrol,50k-100k
Suzuki Swift,Maruti,2014,335000.0,55000.0,Diesel,50k-100k
Elite i20,Hyundai,2015,450000.0,20000.0,Diesel,0-25k
Suzuki Swift,Maruti,2012,225000.0,40000.0,Petrol,25k-50k
Suzuki Versa,Maruti,2004,80000.0,50000.0,Petrol,25k-50k
Indigo LX,Tata,2016,130000.0,104000.0,Diesel,100k-150k
Vento Konekt,Volkswagen,2011,245000.0,65000.0,Diesel,50k-100k
Benz C,Mercedes,2002,399000.0,41000.0,Petrol,25k-50k
Suzuki Ertiga,Maruti,2013,450000.0,90000.0,Diesel,50k-100k
City,Honda,2000,65000.0,80000.0,Petrol,50k-100k
Santro Xing,Hyundai,2006,75000.0,46000.0,Petrol,25k-50k
Suzuki Omni,Maruti,2001,70000.0,70000.0,Petrol,50k-100k
Sonata Transform,Hyundai,2017,190000.0,36469.0,Diesel,25k-50k
Elite i20,Hyundai,2018,600000.0,7800.0,Petrol,0-25k
Suzuki Alto,Maruti,2017,240000.0,60000.0,Petrol,50k-100k
Suzuki Alto,Maruti,2011,155000.0,32000.0,Petrol,25k-50k
Jazz S,Honda,2009,169999.0,24695.0,Petrol,0-25k
Grand i10,Hyundai,2017,450000.0,15141.0,Petrol,0-25k
Suzuki Zen,Maruti,2001,40000.0,40000.0,Petrol,25k-50k
Scorpio W,Mahindra,2012,165000.0,65000.0,Diesel,50k-100k
Suzuki Alto,Maruti,2014,270000.0,22000.0,Petrol,0-25k
Grand i10,Hyundai,2016,280000.0,59910.0,Diesel,50k-100k
XUV500 W8,Mahindra,2012,560000.0,100000.0,Diesel,50k-100k
Creta 1.6,Hyundai,2016,950000.0,25000.0,Petrol,0-25k
i20 Magna,Hyundai,2013,310000.0,35000.0,Petrol,25k-50k
Duster 85,Renault,2015,715000.0,65000.0,Diesel,50k-100k
Grand i10,Hyundai,2014,340000.0,35000.0,Petrol,25k-50k
Brio V,Honda,2012,235000.0,33000.0,Petrol,25k-50k
TUV300 T4,Mahindra,2017,610000.0,68000.0,Diesel,50k-100k
Spark LS,Chevrolet,2010,95000.0,23000.0,Petrol,0-25k
TUV300 T8,Mahindra,2018,1000000.0,4500.0,Diesel,0-25k
Suzuki Swift,Maruti,2015,220000.0,129000.0,Diesel,100k-150k
Suzuki Alto,Maruti,2015,230000.0,5000.0,Petrol,0-25k
Ikon 1.3,Ford,2001,45000.0,65000.0,Petrol,50k-100k
Fortuner 3.0,Toyota,2010,940000.0,131000.0,Diesel,100k-150k
Manza ELAN,Tata,2010,155555.0,111111.0,Petrol,100k-150k
Benz A,Mercedes,2013,1500000.0,14000.0,Petrol,0-25k
Beat LS,Chevrolet,2016,210000.0,22000.0,Diesel,0-25k
EcoSport Trend,Ford,2013,495000.0,38000.0,Diesel,25k-50k
Indigo LS,Tata,2016,125000.0,70000.0,Diesel,50k-100k
i20 Magna,Hyundai,2010,195000.0,36000.0,Petrol,25k-50k
Vento Highline,Volkswagen,2015,550000.0,34000.0,Diesel,25k-50k
Kwid RXT,Renault,2015,270000.0,43000.0,Petrol,25k-50k
EcoSport Titanium,Ford,2014,500000.0,40000.0,Diesel,25k-50k
Amaze 1.5,Honda,2016,240000.0,160000.0,Diesel,150k-200k
Verna 1.6,Hyundai,2017,800000.0,12000.0,Petrol,0-25k
5 Series,BMW,2011,1299000.0,49000.0,Diesel,25k-50k
Superb 1.8,Skoda,2011,530000.0,68000.0,Petrol,50k-100k
Q3 2.0,Audi,2013,1499000.0,37000.0,Diesel,25k-50k
Bolero DI,Mahindra,2012,220000.0,59466.0,Diesel,50k-100k
Figo Duratorq,Ford,2012,250000.0,99000.0,Diesel,50k-100k
Suzuki Wagon,Maruti,2018,395000.0,25500.0,Petrol,25k-50k
Logan Diesel,Mahindra,2009,130000.0,66000.0,Petrol,50k-100k
Nano GenX,Tata,2010,32000.0,44005.0,Petrol,25k-50k
TUV300 T4,Mahindra,2016,540000.0,35000.0,Diesel,25k-50k
Elite i20,Hyundai,2015,405000.0,28000.0,Petrol,25k-50k
Elite i20,Hyundai,2015,400000.0,30000.0,Petrol,25k-50k
City SV,Honda,2017,760000.0,4000.0,Petrol,0-25k
Suzuki Baleno,Maruti,2016,500000.0,28000.0,Petrol,25k-50k
Figo Petrol,Ford,2011,175000.0,75000.0,Petrol,50k-100k
City,Honda,2017,750000.0,3000.0,Petrol,0-25k
Elite i20,Hyundai,2015,419000.0,20000.0,Petrol,0-25k
Suzuki Versa,Maruti,2004,90000.0,50000.0,Petrol,25k-50k
Eon Era,Hyundai,2018,140000.0,2110.0,Petrol,0-25k
Pajero Sport,Mitsubishi,2015,1540000.0,43222.0,Petrol,25k-50k
i10 Magna,Hyundai,2008,275000.0,100200.0,Petrol,100k-150k
Corolla H2,Toyota,2003,150000.0,100000.0,Petrol,50k-100k
Indigo CS,Tata,2015,123000.0,100000.0,Diesel,50k-100k
Xcent Base,Hyundai,2016,300000.0,140000.0,Diesel,100k-150k
Accent Executive,Hyundai,2009,165000.0,48000.0,Petrol,25k-50k
Suzuki Baleno,Maruti,2016,498000.0,22000.0,Petrol,0-25k
Zest XE,Tata,2018,480000.0,103553.0,Diesel,100k-150k
Suzuki Dzire,Maruti,2017,488000.0,80000.0,Diesel,50k-100k
Sumo Gold,Tata,2014,250000.0,99000.0,Diesel,50k-100k
Corolla Altis,Toyota,2010,220000.0,58000.0,Petrol,50k-100k
Suzuki Eeco,Maruti,2013,290000.0,70000.0,LPG,50k-100k
Fortuner 3.0,Toyota,2015,1525000.0,120000.0,Diesel,100k-150k
XUV500 W6,Mahindra,2013,548900.0,49800.0,Diesel,25k-50k
Suzuki 800,Maruti,2001,55000.0,81876.0,Petrol,50k-100k
Suzuki Ertiga,Maruti,2015,550000.0,75000.0,Petrol,50k-100k
Mobilio S,Honda,2014,399000.0,44000.0,Diesel,25k-50k
Suzuki Ertiga,Maruti,2016,730000.0,55000.0,Diesel,50k-100k
Suzuki Vitara,Maruti,2017,725000.0,36000.0,Diesel,25k-50k
Verna 1.6,Hyundai,2016,195000.0,56000.0,Diesel,50k-100k
Suzuki Swift,Maruti,2007,130000.0,62000.0,Petrol,50k-100k
Suzuki Omni,Maruti,2014,190000.0,6020.0,Petrol,0-25k
Amaze,Honda,2013,250000.0,55700.0,Diesel,50k-100k
Indica,Tata,2005,80000.0,42000.0,Petrol,25k-50k
Santro Xing,Hyundai,2003,120000.0,50000.0,Petrol,25k-50k
Suzuki Zen,Maruti,2010,149000.0,35000.0,Petrol,25k-50k
Suzuki Wagon,Maruti,2014,250000.0,18500.0,Petrol,0-25k
Suzuki Wagon,Maruti,2007,120000.0,7000.0,Petrol,0-25k
Brio VX,Honda,2017,450000.0,11000.0,Petrol,0-25k
Suzuki Zen,Maruti,2003,99999.0,53000.0,Petrol,50k-100k
Suzuki Zen,Maruti,2008,135000.0,23000.0,Petrol,0-25k
Suzuki Wagon,Maruti,2016,225000.0,35500.0,Diesel,25k-50k
Suzuki Alto,Maruti,2010,99000.0,22134.0,Petrol,0-25k
